size	stride	elapsed(s)	cycles
4096	1	0.003881	3886
4096	2	0.000928	928
4096	4	0.000953	953
4096	8	0.000899	899
4096	16	0.000914	915
4096	32	0.000908	909
4096	64	0.000901	902
4096	128	0.000801	801
4096	256	0.000829	829
4096	512	0.000816	817
4096	1024	0.000794	794
4096	2048	0.000795	795
8192	1	0.001904	1904
8192	2	0.001822	1822
8192	4	0.001848	1848
8192	8	0.001788	1788
8192	16	0.001834	1834
8192	32	0.001840	1840
8192	64	0.001846	1846
8192	128	0.001658	1657
8192	256	0.001659	1659
8192	512	0.001656	1656
8192	1024	0.001592	1592
8192	2048	0.001673	1674
8192	4096	0.001715	1715
16384	1	0.003712	3712
16384	2	0.003721	3720
16384	4	0.003731	3731
16384	8	0.003558	3559
16384	16	0.003700	3700
16384	32	0.003662	3661
16384	64	0.003559	3558
16384	128	0.003616	3615
16384	256	0.003406	3406
16384	512	0.003313	3313
16384	1024	0.003273	3272
16384	2048	0.003431	3430
16384	4096	0.003579	3579
16384	8192	0.003461	3461
32768	1	0.007338	7338
32768	2	0.007277	7276
32768	4	0.007171	7171
32768	8	0.007038	7037
32768	16	0.006941	6941
32768	32	0.006529	6529
32768	64	0.007292	7291
32768	128	0.007259	7259
32768	256	0.007176	7176
32768	512	0.006704	6704
32768	1024	0.006562	6562
32768	2048	0.006732	6732
32768	4096	0.007215	7215
32768	8192	0.007105	7106
32768	16384	0.006812	6813
65536	1	0.012982	12982
65536	2	0.012404	12405
65536	4	0.013971	13970
65536	8	0.014417	14417
65536	16	0.014675	14675
65536	32	0.014056	14057
65536	64	0.012348	12348
65536	128	0.012265	12265
65536	256	0.012394	12394
65536	512	0.012602	12602
65536	1024	0.012145	12145
65536	2048	0.034022	34021
65536	4096	0.033093	33093
65536	8192	0.014447	14446
65536	16384	0.014221	14221
65536	32768	0.013613	13613
131072	1	0.025991	25991
131072	2	0.024830	24830
131072	4	0.028111	28110
131072	8	0.028891	28892
131072	16	0.029413	29413
131072	32	0.028282	28282
131072	64	0.025494	25493
131072	128	0.025323	25323
131072	256	0.025881	25881
131072	512	0.026409	26409
131072	1024	0.027313	27313
131072	2048	0.072554	72554
131072	4096	0.112375	112375
131072	8192	0.066153	66152
131072	16384	0.028860	28860
131072	32768	0.028444	28443
131072	65536	0.027223	27223
262144	1	0.051972	51972
262144	2	0.049817	49817
262144	4	0.056371	56371
262144	8	0.057314	57314
262144	16	0.058076	58076
262144	32	0.055238	55238
262144	64	0.053159	53159
262144	128	0.055187	55187
262144	256	0.060138	60138
262144	512	0.061430	61429
262144	1024	0.065063	65062
262144	2048	0.141236	141236
262144	4096	0.226818	226818
262144	8192	0.224474	224474
262144	16384	0.135430	135430
262144	32768	0.059207	59207
262144	65536	0.056869	56870
262144	131072	0.054400	54400
524288	1	0.103982	103983
524288	2	0.099530	99530
524288	4	0.113002	113003
524288	8	0.113630	113630
524288	16	0.114711	114711
524288	32	0.108104	108104
524288	64	0.109449	109450
524288	128	0.130887	130887
524288	256	0.157641	157641
524288	512	0.161764	161764
524288	1024	0.164427	164427
524288	2048	0.157089	157089
524288	4096	0.460132	460132
524288	8192	0.452177	452177
524288	16384	0.429423	429423
524288	32768	0.365187	365187
524288	65536	0.122543	122543
524288	131072	0.113756	113756
524288	262144	0.108819	108819
1048576	1	0.208360	208360
1048576	2	0.198644	198644
1048576	4	0.225929	225929
1048576	8	0.226851	226851
1048576	16	0.228743	228743
1048576	32	0.215098	215098
1048576	64	0.218802	218802
1048576	128	0.266572	266572
1048576	256	0.329261	329261
1048576	512	0.341178	341179
1048576	1024	0.349430	349430
1048576	2048	0.389792	389791
1048576	4096	0.924354	924354
1048576	8192	0.912546	912545
1048576	16384	0.906197	906197
1048576	32768	0.928989	928989
1048576	65536	0.746238	746237
1048576	131072	0.245123	245123
1048576	262144	0.227501	227501
1048576	524288	0.217670	217670
2097152	1	0.416770	416770
2097152	2	0.397454	397453
2097152	4	0.452550	452550
2097152	8	0.454390	454390
2097152	16	0.458210	458210
2097152	32	0.432514	432514
2097152	64	0.440185	440185
2097152	128	0.533099	533098
2097152	256	0.658716	658716
2097152	512	0.684383	684383
2097152	1024	0.695160	695160
2097152	2048	0.630008	630008
2097152	4096	1.818118	1818117
2097152	8192	1.823884	1823884
2097152	16384	1.792566	1792566
2097152	32768	1.782721	1782721
2097152	65536	1.624581	1624581
2097152	131072	1.178629	1178629
2097152	262144	0.490171	490170
2097152	524288	0.455035	455035
2097152	1048576	0.428980	428979
4194304	1	0.822693	822692
4194304	2	0.796297	796296
4194304	4	0.906324	906324
4194304	8	0.922889	922889
4194304	16	0.946638	946638
4194304	32	0.881113	881113
4194304	64	0.917259	917260
4194304	128	1.115930	1115930
4194304	256	1.398465	1398464
4194304	512	1.404833	1404833
4194304	1024	1.445828	1445828
4194304	2048	1.265399	1265399
4194304	4096	3.638044	3638043
4194304	8192	3.649572	3649571
4194304	16384	3.625901	3625901
4194304	32768	3.693319	3693319
4194304	65536	3.574569	3574569
4194304	131072	3.440507	3440506
4194304	262144	2.363515	2363515
4194304	524288	0.980426	980426
4194304	1048576	0.909944	909945
4194304	2097152	0.870697	870697
