size	stride	elapsed(s)	cycles
4096	1	0.003375	3380
4096	2	0.000907	907
4096	4	0.000923	922
4096	8	0.000910	910
4096	16	0.000912	912
4096	32	0.000902	902
4096	64	0.000835	836
4096	128	0.000834	834
4096	256	0.000830	830
4096	512	0.000783	783
4096	1024	0.000790	790
4096	2048	0.000789	790
8192	1	0.001897	1897
8192	2	0.001937	1936
8192	4	0.001844	1844
8192	8	0.001780	1779
8192	16	0.001832	1832
8192	32	0.001833	1833
8192	64	0.001798	1798
8192	128	0.001690	1691
8192	256	0.001632	1632
8192	512	0.001646	1646
8192	1024	0.001621	1622
8192	2048	0.001643	1643
8192	4096	0.001713	1712
16384	1	0.003800	3801
16384	2	0.003692	3693
16384	4	0.003661	3660
16384	8	0.003612	3612
16384	16	0.003705	3705
16384	32	0.003686	3686
16384	64	0.003648	3649
16384	128	0.003567	3568
16384	256	0.003373	3374
16384	512	0.003295	3295
16384	1024	0.003270	3270
16384	2048	0.003460	3461
16384	4096	0.003641	3641
16384	8192	0.003398	3399
32768	1	0.007358	7359
32768	2	0.007217	7217
32768	4	0.007227	7227
32768	8	0.007197	7198
32768	16	0.006965	6965
32768	32	0.006725	6726
32768	64	0.006413	6412
32768	128	0.007218	7218
32768	256	0.007211	7211
32768	512	0.006763	6764
32768	1024	0.006562	6562
32768	2048	0.006692	6692
32768	4096	0.007214	7214
32768	8192	0.007108	7108
32768	16384	0.006795	6795
65536	1	0.013045	13045
65536	2	0.012524	12524
65536	4	0.014414	14413
65536	8	0.014819	14820
65536	16	0.014489	14489
65536	32	0.014222	14222
65536	64	0.012553	12553
65536	128	0.012274	12274
65536	256	0.012403	12403
65536	512	0.012623	12623
65536	1024	0.012183	12183
65536	2048	0.036616	36615
65536	4096	0.033231	33231
65536	8192	0.014429	14429
65536	16384	0.014217	14216
65536	32768	0.013617	13617
131072	1	0.026047	26048
131072	2	0.024917	24917
131072	4	0.028692	28692
131072	8	0.029460	29459
131072	16	0.028730	28729
131072	32	0.028049	28048
131072	64	0.025336	25336
131072	128	0.025865	25865
131072	256	0.026699	26699
131072	512	0.027421	27422
131072	1024	0.028357	28356
131072	2048	0.075815	75815
131072	4096	0.118220	118220
131072	8192	0.066749	66749
131072	16384	0.028858	28858
131072	32768	0.028441	28441
131072	65536	0.027200	27200
262144	1	0.052213	52213
262144	2	0.049940	49940
262144	4	0.058131	58132
262144	8	0.058904	58904
262144	16	0.057791	57791
262144	32	0.055862	55862
262144	64	0.052841	52841
262144	128	0.056354	56354
262144	256	0.062634	62634
262144	512	0.065271	65272
262144	1024	0.069417	69417
262144	2048	0.136202	136202
262144	4096	0.236666	236666
262144	8192	0.215445	215444
262144	16384	0.135582	135582
262144	32768	0.057715	57715
262144	65536	0.056880	56880
262144	131072	0.054359	54359
524288	1	0.104336	104336
524288	2	0.099542	99542
524288	4	0.114351	114351
524288	8	0.116719	116719
524288	16	0.114262	114262
524288	32	0.109652	109652
524288	64	0.108639	108639
524288	128	0.132336	132336
524288	256	0.158243	158243
524288	512	0.161447	161447
524288	1024	0.169050	169050
524288	2048	0.160867	160868
524288	4096	0.480478	480479
524288	8192	0.460378	460378
524288	16384	0.467883	467883
524288	32768	0.343829	343829
524288	65536	0.122544	122544
524288	131072	0.113743	113743
524288	262144	0.108783	108782
1048576	1	0.208637	208638
1048576	2	0.198930	198930
1048576	4	0.228363	228364
1048576	8	0.232999	233000
1048576	16	0.228002	228002
1048576	32	0.218735	218735
1048576	64	0.217426	217426
1048576	128	0.265493	265493
1048576	256	0.325365	325364
1048576	512	0.344242	344242
1048576	1024	0.354106	354106
1048576	2048	0.323478	323477
1048576	4096	0.959212	959212
1048576	8192	0.939731	939730
1048576	16384	0.929598	929598
1048576	32768	0.939651	939651
1048576	65536	0.584339	584339
1048576	131072	0.245081	245081
1048576	262144	0.227506	227506
1048576	524288	0.217598	217597
2097152	1	0.417009	417010
2097152	2	0.397659	397658
2097152	4	0.456516	456516
2097152	8	0.466927	466927
2097152	16	0.455882	455882
2097152	32	0.440524	440524
2097152	64	0.439198	439199
2097152	128	0.536187	536187
2097152	256	0.664684	664685
2097152	512	0.693636	693636
2097152	1024	0.709385	709385
2097152	2048	0.639716	639716
2097152	4096	1.892382	1892382
2097152	8192	1.891095	1891096
2097152	16384	1.914429	1914428
2097152	32768	1.897336	1897336
2097152	65536	1.733655	1733655
2097152	131072	1.179958	1179958
2097152	262144	0.490211	490210
2097152	524288	0.455046	455047
2097152	1048576	0.435254	435253
4194304	1	0.835470	835470
4194304	2	0.795377	795377
4194304	4	0.913741	913740
4194304	8	0.931565	931565
4194304	16	0.913309	913308
4194304	32	0.882299	882299
4194304	64	0.890807	890806
4194304	128	1.100460	1100460
4194304	256	1.356662	1356662
4194304	512	1.453580	1453579
4194304	1024	1.485744	1485744
4194304	2048	1.285015	1285016
4194304	4096	3.739038	3739039
4194304	8192	3.777092	3777092
4194304	16384	3.792019	3792019
4194304	32768	3.622606	3622606
4194304	65536	3.624655	3624655
4194304	131072	3.462415	3462414
4194304	262144	3.429732	3429731
4194304	524288	0.980434	980434
4194304	1048576	0.915761	915761
4194304	2097152	0.870579	870579
