cache_size=262144	stride=64	avg_misses=0.924182	avg_time=0.002044
cache_size=262144	stride=128	avg_misses=1.151046	avg_time=0.002297
cache_size=262144	stride=256	avg_misses=1.651695	avg_time=0.002372
cache_size=262144	stride=512	avg_misses=1.777731	avg_time=0.002444
cache_size=262144	stride=1024	avg_misses=1.829919	avg_time=0.002563
cache_size=262144	stride=2048	avg_misses=1.428832	avg_time=0.005500
cache_size=262144	stride=4096	avg_misses=3.563912	avg_time=0.008658
cache_size=262144	stride=8192	avg_misses=0.000090	avg_time=0.008237
cache_size=262144	stride=16384	avg_misses=0.000012	avg_time=0.005156
cache_size=262144	stride=32768	avg_misses=0.000002	avg_time=0.002259
cache_size=262144	stride=65536	avg_misses=0.000003	avg_time=0.002277
cache_size=262144	stride=131072	avg_misses=0.000002	avg_time=0.002081
cache_size=524288	stride=1	avg_misses=0.032577	avg_time=0.001986
cache_size=524288	stride=2	avg_misses=0.064922	avg_time=0.001903
cache_size=524288	stride=4	avg_misses=0.131004	avg_time=0.002191
cache_size=524288	stride=8	avg_misses=0.262462	avg_time=0.002237
cache_size=524288	stride=16	avg_misses=0.520470	avg_time=0.002230
cache_size=524288	stride=32	avg_misses=0.987050	avg_time=0.002129
cache_size=524288	stride=64	avg_misses=1.884782	avg_time=0.002090
cache_size=524288	stride=128	avg_misses=2.651804	avg_time=0.002598
cache_size=524288	stride=256	avg_misses=3.918769	avg_time=0.003063
cache_size=524288	stride=512	avg_misses=4.123249	avg_time=0.003162
cache_size=524288	stride=1024	avg_misses=4.323771	avg_time=0.003241
cache_size=524288	stride=2048	avg_misses=2.691305	avg_time=0.003126
cache_size=524288	stride=4096	avg_misses=3.147822	avg_time=0.009026
cache_size=524288	stride=8192	avg_misses=2.486233	avg_time=0.008908
cache_size=524288	stride=16384	avg_misses=0.000129	avg_time=0.008100
cache_size=524288	stride=32768	avg_misses=0.000013	avg_time=0.005629
cache_size=524288	stride=65536	avg_misses=0.000003	avg_time=0.002351
cache_size=524288	stride=131072	avg_misses=0.000001	avg_time=0.002274
cache_size=524288	stride=262144	avg_misses=0.000001	avg_time=0.002088
cache_size=1048576	stride=1	avg_misses=0.033656	avg_time=0.001985
cache_size=1048576	stride=2	avg_misses=0.067455	avg_time=0.001902
cache_size=1048576	stride=4	avg_misses=0.136346	avg_time=0.002156
cache_size=1048576	stride=8	avg_misses=0.274160	avg_time=0.002235
cache_size=1048576	stride=16	avg_misses=0.544762	avg_time=0.002231
cache_size=1048576	stride=32	avg_misses=1.035541	avg_time=0.002130
cache_size=1048576	stride=64	avg_misses=1.975641	avg_time=0.002111
cache_size=1048576	stride=128	avg_misses=2.867967	avg_time=0.002632
cache_size=1048576	stride=256	avg_misses=4.450190	avg_time=0.003193
cache_size=1048576	stride=512	avg_misses=4.806879	avg_time=0.003323
cache_size=1048576	stride=1024	avg_misses=5.052666	avg_time=0.003393
cache_size=1048576	stride=2048	avg_misses=2.989570	avg_time=0.003075
cache_size=1048576	stride=4096	avg_misses=3.432736	avg_time=0.009143
cache_size=1048576	stride=8192	avg_misses=3.123362	avg_time=0.009179
cache_size=1048576	stride=16384	avg_misses=1.183195	avg_time=0.008777
cache_size=1048576	stride=32768	avg_misses=0.000161	avg_time=0.008208
cache_size=1048576	stride=65536	avg_misses=0.000045	avg_time=0.007544
cache_size=1048576	stride=131072	avg_misses=0.000011	avg_time=0.002351
cache_size=1048576	stride=262144	avg_misses=0.000006	avg_time=0.002274
cache_size=1048576	stride=524288	avg_misses=0.000002	avg_time=0.002083
cache_size=2097152	stride=1	avg_misses=0.033725	avg_time=0.001987
cache_size=2097152	stride=2	avg_misses=0.067465	avg_time=0.001907
cache_size=2097152	stride=4	avg_misses=0.136344	avg_time=0.002172
cache_size=2097152	stride=8	avg_misses=0.274109	avg_time=0.002196
cache_size=2097152	stride=16	avg_misses=0.544430	avg_time=0.002225
cache_size=2097152	stride=32	avg_misses=1.035130	avg_time=0.002110
cache_size=2097152	stride=64	avg_misses=1.976398	avg_time=0.002119
cache_size=2097152	stride=128	avg_misses=2.877666	avg_time=0.002649
cache_size=2097152	stride=256	avg_misses=4.493085	avg_time=0.003197
cache_size=2097152	stride=512	avg_misses=4.876822	avg_time=0.003332
cache_size=2097152	stride=1024	avg_misses=5.134919	avg_time=0.003337
cache_size=2097152	stride=2048	avg_misses=3.024409	avg_time=0.003056
cache_size=2097152	stride=4096	avg_misses=3.394957	avg_time=0.009059
cache_size=2097152	stride=8192	avg_misses=3.393722	avg_time=0.009049
cache_size=2097152	stride=16384	avg_misses=2.828927	avg_time=0.008677
cache_size=2097152	stride=32768	avg_misses=0.852325	avg_time=0.008463
cache_size=2097152	stride=65536	avg_misses=0.000078	avg_time=0.008293
cache_size=2097152	stride=131072	avg_misses=0.000017	avg_time=0.007901
cache_size=2097152	stride=262144	avg_misses=0.000001	avg_time=0.002351
cache_size=2097152	stride=524288	avg_misses=0.000001	avg_time=0.002259
cache_size=2097152	stride=1048576	avg_misses=0.000003	avg_time=0.002066
