size	stride	elapsed(s)	cycles
4096	1	0.002512	2514
4096	2	0.001719	1719
4096	4	0.000620	621
4096	8	0.000630	630
4096	16	0.000651	651
4096	32	0.000652	652
4096	64	0.000668	667
4096	128	0.000662	662
4096	256	0.000643	643
4096	512	0.000666	666
4096	1024	0.000445	444
4096	2048	0.000445	445
8192	1	0.001175	1175
8192	2	0.001185	1185
8192	4	0.001219	1219
8192	8	0.001215	1215
8192	16	0.001251	1251
8192	32	0.001251	1251
8192	64	0.001316	1316
8192	128	0.001318	1318
8192	256	0.001325	1325
8192	512	0.001297	1297
8192	1024	0.001299	1299
8192	2048	0.000889	889
8192	4096	0.000964	963
16384	1	0.002384	2384
16384	2	0.002348	2348
16384	4	0.002376	2376
16384	8	0.002444	2444
16384	16	0.002477	2477
16384	32	0.002499	2499
16384	64	0.002548	2548
16384	128	0.002706	2706
16384	256	0.002660	2660
16384	512	0.002684	2683
16384	1024	0.002596	2597
16384	2048	0.002628	2629
16384	4096	0.001939	1940
16384	8192	0.001928	1928
32768	1	0.004619	4619
32768	2	0.004774	4773
32768	4	0.004825	4826
32768	8	0.004817	4818
32768	16	0.004935	4935
32768	32	0.004975	4975
32768	64	0.005074	5074
32768	128	0.005166	5166
32768	256	0.005239	5239
32768	512	0.005017	5017
32768	1024	0.005315	5315
32768	2048	0.005196	5196
32768	4096	0.004764	4763
32768	8192	0.005044	5044
32768	16384	0.005061	5061
65536	1	0.009570	9570
65536	2	0.009682	9682
65536	4	0.009828	9828
65536	8	0.009950	9950
65536	16	0.010195	10194
65536	32	0.009918	9918
65536	64	0.010415	10415
65536	128	0.009905	9905
65536	256	0.010367	10367
65536	512	0.010681	10681
65536	1024	0.010609	10609
65536	2048	0.014492	14492
65536	4096	0.018429	18430
65536	8192	0.010211	10211
65536	16384	0.007695	7695
65536	32768	0.008010	8010
131072	1	0.019465	19465
131072	2	0.018591	18591
131072	4	0.018827	18827
131072	8	0.019750	19750
131072	16	0.019224	19225
131072	32	0.019500	19500
131072	64	0.019673	19673
131072	128	0.019810	19809
131072	256	0.020237	20236
131072	512	0.020843	20842
131072	1024	0.021223	21223
131072	2048	0.032324	32324
131072	4096	0.051127	51127
131072	8192	0.037125	37126
131072	16384	0.019260	19261
131072	32768	0.015826	15827
131072	65536	0.015445	15445
262144	1	0.038739	38740
262144	2	0.037970	37969
262144	4	0.038136	38136
262144	8	0.039411	39411
262144	16	0.039120	39120
262144	32	0.037979	37979
262144	64	0.038516	38517
262144	128	0.038970	38969
262144	256	0.039328	39328
262144	512	0.040285	40285
262144	1024	0.041054	41054
262144	2048	0.078310	78310
262144	4096	0.142188	142188
262144	8192	0.121142	121142
262144	16384	0.075641	75641
262144	32768	0.040875	40875
262144	65536	0.032374	32373
262144	131072	0.030805	30805
524288	1	0.077156	77156
524288	2	0.076155	76155
524288	4	0.076462	76463
524288	8	0.078454	78454
524288	16	0.078153	78152
524288	32	0.076043	76044
524288	64	0.077026	77025
524288	128	0.077879	77879
524288	256	0.078672	78672
524288	512	0.079492	79492
524288	1024	0.081910	81909
524288	2048	0.238070	238069
524288	4096	0.285129	285129
524288	8192	0.283213	283212
524288	16384	0.215856	215856
524288	32768	0.160894	160894
524288	65536	0.083660	83660
524288	131072	0.062789	62789
524288	262144	0.062579	62579
1048576	1	0.154424	154424
1048576	2	0.153813	153814
1048576	4	0.154858	154858
1048576	8	0.156109	156109
1048576	16	0.157995	157994
1048576	32	0.155426	155427
1048576	64	0.186397	186396
1048576	128	0.274834	274834
1048576	256	0.285896	285897
1048576	512	0.273230	273230
1048576	1024	0.521463	521464
1048576	2048	0.584446	584446
1048576	4096	0.658829	658829
1048576	8192	0.569232	569232
1048576	16384	0.587116	587115
1048576	32768	0.360948	360948
1048576	65536	0.261976	261975
1048576	131072	0.164732	164732
1048576	262144	0.215074	215075
1048576	524288	0.125887	125887
2097152	1	0.309140	309140
2097152	2	0.309275	309275
2097152	4	0.312905	312904
2097152	8	0.318077	318077
2097152	16	0.321598	321598
2097152	32	0.323877	323877
2097152	64	0.603921	603921
2097152	128	1.167249	1167249
2097152	256	1.423051	1423051
2097152	512	1.465932	1465932
2097152	1024	1.430595	1430595
2097152	2048	1.682999	1682999
2097152	4096	2.037877	2037877
2097152	8192	1.201007	1201007
2097152	16384	1.150147	1150146
2097152	32768	1.160346	1160346
2097152	65536	0.888565	888565
2097152	131072	0.576036	576036
2097152	262144	0.324213	324213
2097152	524288	0.254429	254429
2097152	1048576	0.255480	255480
4194304	1	0.618845	618845
4194304	2	0.618713	618713
4194304	4	0.626190	626189
4194304	8	0.636778	636777
4194304	16	0.641835	641835
4194304	32	0.636416	636416
4194304	64	1.228257	1228257
4194304	128	2.413517	2413517
4194304	256	2.932089	2932089
4194304	512	3.025618	3025618
4194304	1024	3.845688	3845688
4194304	2048	3.427357	3427357
4194304	4096	4.242704	4242705
4194304	8192	4.515809	4515809
4194304	16384	2.808616	2808615
4194304	32768	2.296881	2296881
4194304	65536	2.285607	2285607
4194304	131072	1.899569	1899569
4194304	262144	1.221797	1221797
4194304	524288	0.660769	660769
4194304	1048576	0.523328	523328
4194304	2097152	0.518162	518162
