size	stride	elapsed(s)	cycles
4096	1	0.002427	2429
4096	2	0.002032	2033
4096	4	0.000619	620
4096	8	0.000628	629
4096	16	0.000653	653
4096	32	0.000655	654
4096	64	0.000680	680
4096	128	0.000665	665
4096	256	0.000643	643
4096	512	0.000649	649
4096	1024	0.000421	421
4096	2048	0.000445	444
8192	1	0.001222	1222
8192	2	0.001212	1212
8192	4	0.001180	1179
8192	8	0.001211	1210
8192	16	0.001268	1268
8192	32	0.001288	1288
8192	64	0.001287	1287
8192	128	0.001320	1320
8192	256	0.001325	1325
8192	512	0.001286	1287
8192	1024	0.001132	1133
8192	2048	0.000842	842
8192	4096	0.000956	956
16384	1	0.002318	2318
16384	2	0.002372	2372
16384	4	0.002356	2356
16384	8	0.002490	2490
16384	16	0.002488	2488
16384	32	0.002538	2538
16384	64	0.002514	2514
16384	128	0.002652	2653
16384	256	0.002627	2628
16384	512	0.002650	2650
16384	1024	0.002616	2616
16384	2048	0.002650	2650
16384	4096	0.002055	2054
16384	8192	0.001927	1927
32768	1	0.004609	4609
32768	2	0.004714	4713
32768	4	0.004784	4784
32768	8	0.004752	4752
32768	16	0.004961	4962
32768	32	0.004920	4921
32768	64	0.004975	4975
32768	128	0.005139	5139
32768	256	0.005179	5180
32768	512	0.005392	5393
32768	1024	0.005336	5335
32768	2048	0.005181	5181
32768	4096	0.005260	5259
32768	8192	0.003750	3750
32768	16384	0.003880	3879
65536	1	0.009748	9748
65536	2	0.009727	9727
65536	4	0.009711	9712
65536	8	0.010181	10181
65536	16	0.010125	10125
65536	32	0.010007	10007
65536	64	0.009911	9911
65536	128	0.010099	10099
65536	256	0.010213	10213
65536	512	0.010402	10402
65536	1024	0.010336	10336
65536	2048	0.017096	17096
65536	4096	0.013882	13881
65536	8192	0.009438	9438
65536	16384	0.007652	7652
65536	32768	0.007707	7707
131072	1	0.019340	19340
131072	2	0.019490	19490
131072	4	0.019478	19478
131072	8	0.019948	19948
131072	16	0.020449	20449
131072	32	0.019990	19990
131072	64	0.019732	19733
131072	128	0.019786	19786
131072	256	0.020021	20021
131072	512	0.020474	20474
131072	1024	0.021196	21196
131072	2048	0.047706	47707
131072	4096	0.067228	67229
131072	8192	0.032640	32641
131072	16384	0.020705	20706
131072	32768	0.016303	16303
131072	65536	0.015456	15456
262144	1	0.038561	38561
262144	2	0.038933	38932
262144	4	0.039312	39313
262144	8	0.039868	39869
262144	16	0.040543	40542
262144	32	0.039863	39863
262144	64	0.038945	38944
262144	128	0.038698	38698
262144	256	0.039211	39210
262144	512	0.040192	40192
262144	1024	0.041247	41247
262144	2048	0.112875	112874
262144	4096	0.141107	141107
262144	8192	0.128574	128574
262144	16384	0.074983	74982
262144	32768	0.041343	41343
262144	65536	0.030870	30870
262144	131072	0.031180	31180
524288	1	0.077282	77282
524288	2	0.078151	78151
524288	4	0.079110	79110
524288	8	0.080662	80662
524288	16	0.082904	82904
524288	32	0.080992	80992
524288	64	0.100928	100928
524288	128	0.110413	110413
524288	256	0.105442	105442
524288	512	0.108525	108525
524288	1024	0.259945	259944
524288	2048	0.282697	282697
524288	4096	0.303649	303649
524288	8192	0.277026	277026
524288	16384	0.228836	228835
524288	32768	0.160320	160320
524288	65536	0.083865	83865
524288	131072	0.063755	63755
524288	262144	0.063041	63041
1048576	1	0.155521	155520
1048576	2	0.155005	155005
1048576	4	0.155614	155614
1048576	8	0.157082	157082
1048576	16	0.158701	158701
1048576	32	0.156004	156005
1048576	64	0.200326	200326
1048576	128	0.302354	302354
1048576	256	0.331243	331242
1048576	512	0.329665	329666
1048576	1024	0.543196	543196
1048576	2048	0.599656	599656
1048576	4096	0.687389	687389
1048576	8192	0.557602	557602
1048576	16384	0.554427	554426
1048576	32768	0.520333	520333
1048576	65536	0.277849	277848
1048576	131072	0.165194	165194
1048576	262144	0.125626	125626
1048576	524288	0.128185	128185
2097152	1	0.309751	309751
2097152	2	0.309334	309334
2097152	4	0.311859	311859
2097152	8	0.314909	314909
2097152	16	0.320062	320062
2097152	32	0.316488	316488
2097152	64	0.598284	598284
2097152	128	1.154735	1154735
2097152	256	1.403315	1403315
2097152	512	1.435716	1435716
2097152	1024	1.419660	1419660
2097152	2048	1.667745	1667746
2097152	4096	2.168377	2168377
2097152	8192	1.361041	1361041
2097152	16384	1.101226	1101227
2097152	32768	1.101352	1101352
2097152	65536	0.942150	942150
2097152	131072	0.486800	486800
2097152	262144	0.338840	338839
2097152	524288	0.270656	270656
2097152	1048576	0.278762	278762
4194304	1	0.622706	622706
4194304	2	0.620959	620960
4194304	4	0.626899	626899
4194304	8	0.636160	636161
4194304	16	0.640860	640859
4194304	32	0.634975	634975
4194304	64	1.227469	1227469
4194304	128	2.407124	2407125
4194304	256	2.975483	2975483
4194304	512	3.074212	3074212
4194304	1024	2.952133	2952133
4194304	2048	3.489869	3489869
4194304	4096	4.528067	4528067
4194304	8192	4.578109	4578109
4194304	16384	2.926022	2926022
4194304	32768	2.199396	2199397
4194304	65536	2.242362	2242361
4194304	131072	2.188753	2188754
4194304	262144	1.304637	1304638
4194304	524288	0.659184	659183
4194304	1048576	0.504993	504993
4194304	2097152	0.510374	510374
