size	stride	elapsed(s)	cycles
4096	1	0.002533	2535
4096	2	0.002015	2016
4096	4	0.000618	618
4096	8	0.000631	630
4096	16	0.000650	651
4096	32	0.000650	651
4096	64	0.000696	696
4096	128	0.000677	676
4096	256	0.000654	654
4096	512	0.000621	621
4096	1024	0.000420	421
4096	2048	0.000448	448
8192	1	0.001193	1193
8192	2	0.001184	1184
8192	4	0.001203	1203
8192	8	0.001235	1235
8192	16	0.001248	1249
8192	32	0.001317	1317
8192	64	0.001314	1314
8192	128	0.001318	1318
8192	256	0.001324	1324
8192	512	0.001289	1289
8192	1024	0.001299	1299
8192	2048	0.000892	893
8192	4096	0.000964	965
16384	1	0.002312	2312
16384	2	0.002362	2362
16384	4	0.002365	2365
16384	8	0.002370	2370
16384	16	0.002537	2537
16384	32	0.002581	2582
16384	64	0.002566	2566
16384	128	0.002410	2410
16384	256	0.002665	2665
16384	512	0.002664	2663
16384	1024	0.002623	2623
16384	2048	0.002451	2451
16384	4096	0.001982	1982
16384	8192	0.001940	1940
32768	1	0.004588	4588
32768	2	0.004653	4653
32768	4	0.004699	4699
32768	8	0.004793	4794
32768	16	0.004810	4811
32768	32	0.005079	5079
32768	64	0.005185	5185
32768	128	0.005121	5121
32768	256	0.005257	5256
32768	512	0.005279	5279
32768	1024	0.005350	5350
32768	2048	0.005180	5180
32768	4096	0.005091	5091
32768	8192	0.004172	4172
32768	16384	0.003878	3878
65536	1	0.009655	9656
65536	2	0.009725	9724
65536	4	0.009855	9855
65536	8	0.009876	9876
65536	16	0.010030	10030
65536	32	0.010323	10323
65536	64	0.010494	10494
65536	128	0.010052	10052
65536	256	0.010339	10339
65536	512	0.010385	10385
65536	1024	0.010384	10385
65536	2048	0.017051	17052
65536	4096	0.014111	14111
65536	8192	0.010303	10302
65536	16384	0.008244	8245
65536	32768	0.007742	7743
131072	1	0.019363	19363
131072	2	0.019657	19658
131072	4	0.019457	19457
131072	8	0.019686	19686
131072	16	0.019843	19843
131072	32	0.020476	20476
131072	64	0.020400	20400
131072	128	0.019945	19945
131072	256	0.020338	20338
131072	512	0.020361	20360
131072	1024	0.021287	21287
131072	2048	0.058983	58983
131072	4096	0.049662	49662
131072	8192	0.040817	40817
131072	16384	0.020459	20460
131072	32768	0.015811	15812
131072	65536	0.015634	15634
262144	1	0.038360	38361
262144	2	0.038051	38051
262144	4	0.038710	38709
262144	8	0.039077	39077
262144	16	0.039378	39378
262144	32	0.040556	40557
262144	64	0.039926	39927
262144	128	0.039347	39347
262144	256	0.039728	39728
262144	512	0.040376	40376
262144	1024	0.041616	41616
262144	2048	0.084040	84040
262144	4096	0.153088	153088
262144	8192	0.109964	109964
262144	16384	0.081309	81308
262144	32768	0.041229	41230
262144	65536	0.032949	32949
262144	131072	0.033687	33687
524288	1	0.077504	77503
524288	2	0.076873	76874
524288	4	0.078361	78361
524288	8	0.078124	78125
524288	16	0.079004	79003
524288	32	0.081439	81440
524288	64	0.079925	79925
524288	128	0.078449	78449
524288	256	0.079106	79106
524288	512	0.079681	79681
524288	1024	0.082491	82492
524288	2048	0.239698	239697
524288	4096	0.307888	307887
524288	8192	0.309175	309175
524288	16384	0.204995	204995
524288	32768	0.167397	167397
524288	65536	0.083182	83182
524288	131072	0.062513	62513
524288	262144	0.064601	64602
1048576	1	0.154174	154174
1048576	2	0.153907	153906
1048576	4	0.154995	154995
1048576	8	0.155398	155399
1048576	16	0.156396	156397
1048576	32	0.161221	161221
1048576	64	0.206471	206471
1048576	128	0.275310	275310
1048576	256	0.315654	315654
1048576	512	0.321774	321774
1048576	1024	0.548866	548866
1048576	2048	0.599182	599182
1048576	4096	0.697213	697213
1048576	8192	0.618131	618132
1048576	16384	0.621514	621513
1048576	32768	0.298230	298231
1048576	65536	0.347250	347250
1048576	131072	0.166351	166351
1048576	262144	0.125765	125765
1048576	524288	0.128739	128738
2097152	1	0.310498	310498
2097152	2	0.308063	308063
2097152	4	0.310250	310250
2097152	8	0.313280	313280
2097152	16	0.314197	314197
2097152	32	0.343486	343485
2097152	64	0.799932	799932
2097152	128	1.171886	1171886
2097152	256	1.469664	1469664
2097152	512	1.491851	1491851
2097152	1024	1.429766	1429766
2097152	2048	1.656611	1656611
2097152	4096	2.005464	2005464
2097152	8192	1.483391	1483391
2097152	16384	1.234601	1234601
2097152	32768	1.235530	1235530
2097152	65536	0.700144	700144
2097152	131072	0.677534	677534
2097152	262144	0.324615	324615
2097152	524288	0.254407	254407
2097152	1048576	0.260366	260366
4194304	1	0.615006	615006
4194304	2	0.615517	615518
4194304	4	0.619797	619796
4194304	8	0.628414	628414
4194304	16	0.628872	628873
4194304	32	0.689400	689401
4194304	64	1.628217	1628218
4194304	128	2.414682	2414683
4194304	256	3.058189	3058190
4194304	512	3.074041	3074041
4194304	1024	2.889201	2889201
4194304	2048	3.284571	3284571
4194304	4096	3.922111	3922110
4194304	8192	4.414911	4414911
4194304	16384	2.969404	2969404
4194304	32768	2.453991	2453991
4194304	65536	2.492529	2492529
4194304	131072	1.574972	1574972
4194304	262144	1.360120	1360120
4194304	524288	0.663581	663582
4194304	1048576	0.527854	527855
4194304	2097152	0.520046	520046
