size	stride	elapsed(s)	cycles
4096	1	0.002443	2445
4096	2	0.001316	1317
4096	4	0.000616	615
4096	8	0.000630	630
4096	16	0.000651	651
4096	32	0.000650	650
4096	64	0.000671	671
4096	128	0.000658	658
4096	256	0.000643	643
4096	512	0.000650	650
4096	1024	0.000433	434
4096	2048	0.000459	460
8192	1	0.001193	1193
8192	2	0.001183	1183
8192	4	0.001208	1208
8192	8	0.001219	1219
8192	16	0.001219	1219
8192	32	0.001316	1316
8192	64	0.001202	1201
8192	128	0.001311	1311
8192	256	0.001320	1320
8192	512	0.001284	1284
8192	1024	0.001296	1296
8192	2048	0.000890	890
8192	4096	0.000964	964
16384	1	0.002305	2305
16384	2	0.002349	2349
16384	4	0.002381	2381
16384	8	0.002442	2442
16384	16	0.002418	2418
16384	32	0.002566	2567
16384	64	0.002713	2713
16384	128	0.002745	2745
16384	256	0.002348	2347
16384	512	0.002647	2647
16384	1024	0.002594	2594
16384	2048	0.002437	2437
16384	4096	0.002189	2188
16384	8192	0.001971	1971
32768	1	0.004619	4619
32768	2	0.004654	4654
32768	4	0.004685	4685
32768	8	0.004701	4700
32768	16	0.004921	4921
32768	32	0.004994	4994
32768	64	0.005321	5321
32768	128	0.005508	5508
32768	256	0.005310	5310
32768	512	0.005311	5311
32768	1024	0.005333	5333
32768	2048	0.005195	5196
32768	4096	0.005235	5234
32768	8192	0.003730	3730
32768	16384	0.004136	4136
65536	1	0.009585	9585
65536	2	0.009211	9210
65536	4	0.009275	9275
65536	8	0.009371	9372
65536	16	0.009667	9667
65536	32	0.009929	9929
65536	64	0.010348	10348
65536	128	0.010968	10968
65536	256	0.010438	10438
65536	512	0.010747	10747
65536	1024	0.010748	10747
65536	2048	0.014759	14759
65536	4096	0.019033	19033
65536	8192	0.010422	10423
65536	16384	0.008551	8552
65536	32768	0.008832	8832
131072	1	0.019140	19140
131072	2	0.018799	18799
131072	4	0.018698	18698
131072	8	0.019212	19212
131072	16	0.019409	19409
131072	32	0.020065	20065
131072	64	0.020681	20681
131072	128	0.022148	22148
131072	256	0.020105	20104
131072	512	0.020449	20449
131072	1024	0.021398	21397
131072	2048	0.034993	34993
131072	4096	0.032247	32247
131072	8192	0.038189	38189
131072	16384	0.020578	20579
131072	32768	0.015998	15998
131072	65536	0.015464	15464
262144	1	0.038555	38554
262144	2	0.037666	37666
262144	4	0.038015	38016
262144	8	0.038766	38766
262144	16	0.039063	39063
262144	32	0.039768	39768
262144	64	0.041256	41256
262144	128	0.044263	44263
262144	256	0.039284	39284
262144	512	0.040428	40429
262144	1024	0.040994	40993
262144	2048	0.057186	57185
262144	4096	0.145876	145876
262144	8192	0.080270	80271
262144	16384	0.077302	77302
262144	32768	0.040904	40903
262144	65536	0.030992	30992
262144	131072	0.035016	35016
524288	1	0.077153	77152
524288	2	0.077355	77356
524288	4	0.078589	78589
524288	8	0.078834	78834
524288	16	0.079558	79558
524288	32	0.081977	81978
524288	64	0.082402	82401
524288	128	0.089600	89600
524288	256	0.078920	78920
524288	512	0.080211	80210
524288	1024	0.082119	82119
524288	2048	0.145050	145050
524288	4096	0.291475	291475
524288	8192	0.292652	292652
524288	16384	0.199434	199434
524288	32768	0.162432	162432
524288	65536	0.082632	82632
524288	131072	0.066276	66276
524288	262144	0.061930	61930
1048576	1	0.154543	154543
1048576	2	0.154431	154431
1048576	4	0.154939	154939
1048576	8	0.156742	156742
1048576	16	0.157953	157954
1048576	32	0.160993	160993
1048576	64	0.174805	174805
1048576	128	0.213528	213528
1048576	256	0.209788	209789
1048576	512	0.198468	198468
1048576	1024	0.490930	490930
1048576	2048	0.547005	547006
1048576	4096	0.599717	599716
1048576	8192	0.558577	558577
1048576	16384	0.554689	554689
1048576	32768	0.550240	550240
1048576	65536	0.252683	252683
1048576	131072	0.166140	166141
1048576	262144	0.132118	132118
1048576	524288	0.127461	127461
2097152	1	0.309250	309250
2097152	2	0.309118	309118
2097152	4	0.310907	310907
2097152	8	0.315032	315032
2097152	16	0.318501	318501
2097152	32	0.333149	333149
2097152	64	0.551747	551747
2097152	128	1.104793	1104793
2097152	256	1.385775	1385774
2097152	512	1.418231	1418232
2097152	1024	1.413440	1413440
2097152	2048	1.639893	1639893
2097152	4096	1.980209	1980210
2097152	8192	1.366860	1366859
2097152	16384	1.131568	1131568
2097152	32768	1.120311	1120311
2097152	65536	0.900349	900349
2097152	131072	0.657624	657624
2097152	262144	0.341084	341083
2097152	524288	0.250013	250012
2097152	1048576	0.251805	251805
4194304	1	0.641670	641670
4194304	2	0.656976	656977
4194304	4	0.622410	622410
4194304	8	0.630540	630540
4194304	16	0.637905	637906
4194304	32	0.649759	649759
4194304	64	1.152025	1152025
4194304	128	3.370905	3370905
4194304	256	3.250663	3250663
4194304	512	3.016565	3016566
4194304	1024	2.855827	2855827
4194304	2048	3.211500	3211500
4194304	4096	3.803031	3803031
4194304	8192	4.324536	4324536
4194304	16384	2.694607	2694607
4194304	32768	2.295682	2295682
4194304	65536	2.302254	2302254
4194304	131072	1.988824	1988824
4194304	262144	1.141071	1141071
4194304	524288	0.667603	667603
4194304	1048576	0.513993	513993
4194304	2097152	0.516026	516026
